Станция,Широта,Долгота,Код
ясная поляна,54.0971654,37.5686064,213905
оборона,52.0899599,40.7867283,598107
курбатово,51.6466984,38.5837721,596008
кшень,51.8494633,37.722966,209401
петелино,55.6026574,36.8240988,182509
ляля,59.0511266,60.6090431,774104
битюг,51.0634575,39.9847955,582607
берники,54.2888971,37.247471,212404
спас-деменск,54.4130111,34.0342937,187700
кудринская,54.2503897,35.5429248,184806
брянск-орловский,53.2629041,34.4062012,200106
сельцо,53.3689913,34.0942074,179009
рябцево,54.6425515,32.3481526,176602
копанище,50.9448481,39.2500841,581801
крупенниково,50.9893591,39.3650936,581905
ипуть,52.9649463,32.4035831,203000
ужовка,54.7927185,44.908146,246608
каджером,64.6835219,55.8746165,287504
микунь,62.3598299,50.0744971,282407
калач,50.4215002,40.9822581,583506
калач,58.5523958,63.0159461,583506
улу-елга,53.9344242,57.9132539,654203
стерлитамак,53.6328378,55.9504121,652706
аскиз,53.1337394,90.4157774,887001
камышта,53.2639949,90.6956546,887603
лопуховка,51.9895404,44.7040262,608900
примыкание,51.4981723,45.9226046,620705
половцево,51.0792297,41.7634722,584104
чернавка,52.3014182,47.2483268,624208
стриганово,57.3119723,61.3325687,785607
туринский,57.1742283,65.8714512,795609
юшала,57.0739172,64.2656067,792507
криволучье,54.1828376,37.6936739,211806
сомово,51.7368085,39.3485146,590209
сомово,51.7370692,39.349713,590209
тресвятская,51.7637659,39.5229443,590302
соблаго,56.8882262,32.6540528,68107
пено,56.9220324,32.7442156,69109
куженкино,57.7271245,33.9758201,69608
хвойная,58.8929461,34.5036995,43909
томск-грузовой,56.5237294,84.9533638,874302
пестово,58.6012785,35.8070256,42906
нарвская,59.8997076,30.2740578,35705
нарвская,59.8716979,30.281404,35705
кушва,58.2837621,59.7227515,773101
кривандино,55.559369,39.6861674,232304
усмань,52.0693689,39.7183067,591606
мытищи,55.9148226,37.7617421,234808
подлипки-дачные,55.9254758,37.8164469,234901
болшево,55.9262227,37.8610889,235001
соколовская,55.9271351,37.9461822,235406
космос,55.428801,37.8814623,193105
рамонь,51.9071557,39.373224,590707
рамонь,51.9072001,39.3728722,590707
дивногорск,55.9646344,92.3806112,891702
тутаул,55.0248213,127.4614962,912805
дрогошевск,52.8727673,130.4153638,915907
иса,51.753188,131.0265405,916401
этыркэн,51.518689,131.5280514,916702
алонка,51.3674416,132.4436352,916905
заводская,56.8575182,53.1158939,255908
заводская,56.6255613,84.8742616,255908
заводская,55.563735,37.7640438,255908
заводская,53.4243425,59.0501058,255908
заводская,59.7386914,52.2489483,255908
заводская,57.9369755,60.1010496,255908
заводская,52.716821,58.6916893,255908
заводская,55.587398,37.9176148,255908
заводская,57.9249019,60.0012797,255908
заводская,54.9156653,38.052364,255908
заводская,55.3458294,85.9609296,255908
заводская,58.38218,58.3227244,255908
заводская,56.8170423,59.9620505,255908
ивангород-нарвский,59.3671866,28.234017,73302
нарачино,57.9093293,33.7408606,54903
феодосия,45.0304235,35.3842447,471601
феодосия,45.0304235,35.3842447,868602
новосибирск-западный,54.9952899,82.8545317,851207
тучково,55.5973971,36.468663,182904
ивантеевка,55.9647907,37.9392583,235209
фрязево,55.7323395,38.4650358,230807
савино,56.589496,41.2120371,319300
дмитров,56.3375775,37.5104118,238404
хотьково,56.2569451,37.9981322,236201
софрино,56.1365062,37.9305753,236004
ясногорск,54.4789219,37.6846849,210708
остряково,45.116446,34.0279981,474101
остряково,45.116446,34.0279981,856709
кушья,57.4529088,53.1018511,277305
пастухово,57.2555968,53.011276,277108
пастухово,54.6148614,21.6535506,277108
люкшудья,56.9628637,53.013981,276904
люкшудья,56.9625268,53.0112931,276904
чебсара,59.2051009,38.8307728,302009
чебсара,59.205006,38.8308894,302009
чебсара,59.2050488,38.8308425,302009
чебсара,59.2052647,38.831453,302009
кущуба,59.2199244,38.9678,301909
кошта,59.1416548,37.7490368,302600
кожым,65.748652,59.6550697,288507
малая пера,64.179603,54.8359782,287006
керки,63.7216272,54.1926287,286709
чиньяворык,63.2130988,52.6889104,285208
черемуха,61.2738787,47.2514516,281000
солнцево,51.4140279,36.7443377,437206
солнцево,55.649569,37.3911002,437206
малоархангельск,52.3879837,36.3076151,217003
койты,61.8498081,50.6816284,284101
койты,61.8497674,50.6813163,284101
опарино,59.8487596,48.274725,272301
